status,run_name,quasi_identifiers,n_qi,insensitive_attributes_chosen,n_insensitive_chosen,attacker_knowledge,n_generalized_known_attrs,visible_levels,avg_stage1_equivalence_class_size,median_stage1_equivalence_class_size,avg_stage2_equivalence_class_size,median_stage2_equivalence_class_size,n_targets,linkage_summary_path,runtime_config_path,anonymized_path,anonymized_eval_path,auxiliary_path
success,adult_linkage_phase_curve__001,age|education|marital-status|native-country|occupation|race|relationship|sex,8,capital-gain|capital-loss|hours-per-week|workclass,4,age|education|marital-status|native-country|occupation|race|relationship|sex|capital-gain|capital-loss|hours-per-week|workclass,5,age:1|education:2|marital-status:1|native-country:1|occupation:1|race:0|relationship:0|sex:0|capital-gain:0|capital-loss:0|hours-per-week:0|workclass:0,4749.369128,5222.0,210.053691,24.5,298,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__001__known_age-education-marital-status-native-country-occupation-race-relationship-sex-capital-gain-capital-loss-hours-per-week-workclass__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__001.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__001.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__001.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__001__aux.csv
success,adult_linkage_phase_curve__002,age|education|marital-status|native-country|occupation|race|sex|workclass,8,capital-gain|relationship,2,age|education|marital-status|native-country|occupation|race|sex|workclass|capital-gain|relationship,7,age:1|education:2|marital-status:1|native-country:1|occupation:2|race:2|sex:0|workclass:1|capital-gain:0|relationship:0,1371.661017,1074.0,626.759322,298.0,295,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__002__known_age-education-marital-status-native-country-occupation-race-sex-workclass-capital-gain-relationship__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__002.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__002.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__002.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__002__aux.csv
success,adult_linkage_phase_curve__003,age|education|marital-status|native-country|occupation|race|sex|workclass,8,hours-per-week,1,age|education|marital-status|native-country|occupation|race|sex|workclass|hours-per-week,7,age:1|education:2|marital-status:1|native-country:1|occupation:2|race:2|sex:0|workclass:1|hours-per-week:0,1371.661017,1074.0,245.40339,66.0,295,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__003__known_age-education-marital-status-native-country-occupation-race-sex-workclass-hours-per-week__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__003.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__003.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__003.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__003__aux.csv
success,adult_linkage_phase_curve__004,age|education|native-country|occupation|race|relationship|sex|workclass,8,,0,age|education|native-country|occupation|race|relationship|sex|workclass,7,age:1|education:1|native-country:1|occupation:2|race:2|relationship:2|sex:0|workclass:1,702.615646,384.0,481.704082,298.0,294,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__004__known_age-education-native-country-occupation-race-relationship-sex-workclass__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__004.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__004.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__004.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__004__aux.csv
success,adult_linkage_phase_curve__005,age|education|native-country|occupation|race|relationship|sex|workclass,8,capital-gain|capital-loss|hours-per-week|marital-status,4,age|education|native-country|occupation|race|relationship|sex|workclass|capital-gain|capital-loss|hours-per-week|marital-status,7,age:1|education:1|native-country:1|occupation:2|race:2|relationship:2|sex:0|workclass:1|capital-gain:0|capital-loss:0|hours-per-week:0|marital-status:0,702.615646,384.0,50.435374,7.0,294,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__005__known_age-education-native-country-occupation-race-relationship-sex-workclass-capital-gain-capital-loss-hours-per-week-marital-status__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__005.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__005.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__005.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__005__aux.csv
success,adult_linkage_phase_curve__006,education|marital-status|native-country|occupation|race|relationship|sex|workclass,8,age|capital-gain|capital-loss|hours-per-week,4,education|marital-status|native-country|occupation|race|relationship|sex|workclass|age|capital-gain|capital-loss|hours-per-week,7,education:1|marital-status:1|native-country:1|occupation:2|race:2|relationship:2|sex:0|workclass:1|age:0|capital-gain:0|capital-loss:0|hours-per-week:0,702.615646,384.0,3.823129,1.0,294,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__006__known_education-marital-status-native-country-occupation-race-relationship-sex-workclass-age-capital-gain-capital-loss-hours-per-week__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__006.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__006.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__006.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__006__aux.csv
success,adult_linkage_phase_curve__007,education|marital-status|native-country|occupation|race|relationship|sex|workclass,8,capital-gain|capital-loss|hours-per-week,3,education|marital-status|native-country|occupation|race|relationship|sex|workclass|capital-gain|capital-loss|hours-per-week,7,education:1|marital-status:1|native-country:1|occupation:2|race:2|relationship:2|sex:0|workclass:1|capital-gain:0|capital-loss:0|hours-per-week:0,702.615646,384.0,93.180272,17.5,294,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__007__known_education-marital-status-native-country-occupation-race-relationship-sex-workclass-capital-gain-capital-loss-hours-per-week__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__007.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__007.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__007.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__007__aux.csv
success,adult_linkage_phase_curve__008,age|education|marital-status|native-country|occupation|relationship|sex,7,capital-gain|hours-per-week|race,3,age|education|marital-status|native-country|occupation|relationship|sex|capital-gain|hours-per-week|race,5,age:1|education:2|marital-status:1|native-country:1|occupation:2|relationship:0|sex:0|capital-gain:0|hours-per-week:0|race:0,2731.610922,2147.0,255.631399,45.0,293,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__008__known_age-education-marital-status-native-country-occupation-relationship-sex-capital-gain-hours-per-week-race__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__008.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__008.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__008.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__008__aux.csv
success,adult_linkage_phase_curve__009,age|education|marital-status|occupation|race|relationship|sex,7,capital-gain|hours-per-week|native-country|workclass,4,age|education|marital-status|occupation|race|relationship|sex|capital-gain|hours-per-week|native-country|workclass,5,age:1|education:2|marital-status:1|occupation:2|race:2|relationship:0|sex:0|capital-gain:0|hours-per-week:0|native-country:0|workclass:0,2550.279461,1977.0,163.323232,20.0,297,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__009__known_age-education-marital-status-occupation-race-relationship-sex-capital-gain-hours-per-week-native-country-workclass__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__009.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__009.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__009.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__009__aux.csv
success,adult_linkage_phase_curve__010,age|education|native-country|occupation|race|sex|workclass,7,capital-loss|marital-status|relationship,3,age|education|native-country|occupation|race|sex|workclass|capital-loss|marital-status|relationship,5,age:1|education:1|native-country:1|occupation:2|race:0|sex:0|workclass:1|capital-loss:0|marital-status:0|relationship:0,1768.426667,1578.0,277.043333,94.0,300,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__010__known_age-education-native-country-occupation-race-sex-workclass-capital-loss-marital-status-relationship__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__010.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__010.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__010.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__010__aux.csv
